random_id,motivacion,conectado,sexojefe,edadjefe,jefesabeleer,jefesabeescribir,pdiasfueaescuela
1,0,0,1,37,1,1,
3,1,1,1,45,0,0,57.14286
5,0,0,1,50,1,1,85.714287
7,1,1,1,54,1,1,85.714287
8,0,0,2,66,0,0,
9,0,0,1,80,1,1,
10,1,1,1,29,1,1,
11,0,1,1,52,1,1,71.428574
12,1,1,1,66,0,0,
14,0,0,1,42,1,1,42.857143
15,1,1,1,43,1,1,
16,1,1,1,25,1,1,
18,0,0,1,26,1,1,
21,1,1,1,51,1,1,71.428574
22,0,0,2,,0,0,
23,1,0,1,52,1,1,
24,1,1,1,69,0,0,
25,1,0,1,49,0,0,
26,1,1,1,45,1,1,57.14286
27,1,0,1,40,1,1,14.285715
28,0,0,1,90,0,0,42.857143
29,1,0,1,56,1,1,71.428574
30,1,1,1,78,0,0,
31,1,1,1,57,1,1,71.428574
33,1,1,1,24,1,1,57.14286
34,0,0,2,60,0,0,
35,0,0,2,53,1,1,
36,1,0,1,,0,0,
37,0,0,2,42,0,0,
38,0,1,1,43,1,1,71.428574
40,1,1,1,47,1,1,14.285715
41,1,1,2,87,0,0,71.428574
42,1,0,2,68,0,0,
43,0,0,2,43,1,1,
45,1,0,1,38,1,1,
46,1,0,1,41,1,1,
47,1,0,1,51,0,0,
49,1,1,2,38,1,1,14.285715
51,1,1,2,56,1,1,
52,1,0,2,80,0,0,
53,0,0,1,55,1,1,
54,0,0,1,57,1,1,
55,0,1,1,28,1,1,
56,0,0,1,58,1,1,28.57143
58,1,1,1,41,1,1,
59,1,1,1,41,1,1,71.428574
60,0,0,1,71,1,1,
62,1,1,2,70,0,0,
63,0,0,1,56,0,0,
65,1,1,1,70,1,1,
66,1,0,1,39,0,0,71.428574
67,1,0,1,35,1,1,
68,0,0,1,47,1,1,
69,1,1,1,60,1,1,
70,1,1,1,48,1,1,71.428574
71,1,1,1,40,,,
72,1,1,2,75,0,0,
74,0,0,1,57,1,1,
76,0,0,1,52,1,1,71.428574
77,1,1,1,63,1,1,
79,0,0,1,87,0,0,
80,1,1,2,55,0,0,
81,1,1,1,42,1,1,42.857143
82,1,1,1,50,1,1,
83,1,1,1,42,0,0,42.857143
84,0,0,1,48,1,1,
85,0,0,1,26,1,1,
86,0,0,1,41,1,1,85.714287
87,1,1,1,55,0,0,57.14286
88,1,0,1,45,0,0,
89,1,1,1,36,1,1,57.14286
90,0,0,2,41,0,0,42.857143
91,0,0,2,,0,0,
92,0,0,1,48,1,1,42.857143
93,0,0,1,51,1,1,
94,0,0,1,58,1,1,85.714287
95,0,0,1,74,1,1,
96,1,1,1,51,0,0,71.428574
99,0,0,1,40,1,1,
100,1,1,1,68,1,1,
101,0,0,1,74,1,1,
103,0,0,1,60,1,1,14.285715
104,0,0,1,49,1,1,
105,1,1,1,54,0,0,
106,0,0,2,46,0,0,
107,1,0,2,,1,1,
108,1,1,1,45,1,1,57.14286
112,1,1,1,58,0,0,
114,1,1,1,30,1,1,
115,1,0,1,60,0,0,
116,0,1,1,45,1,1,71.428574
117,0,1,1,37,0,0,14.285715
119,0,0,1,46,1,1,85.714287
120,0,0,1,40,1,1,
122,1,0,2,56,0,0,
123,0,0,2,50,0,0,
124,1,0,1,64,0,0,
125,0,0,2,48,1,1,
126,1,1,1,43,1,1,
127,1,0,1,37,0,0,57.14286
130,0,1,1,68,0,0,
131,0,0,1,53,1,1,
132,0,0,1,39,1,1,85.714287
133,1,1,1,28,1,1,
134,1,1,1,37,1,1,28.57143
135,1,1,2,39,0,0,71.428574
136,1,1,1,71,0,0,
137,1,0,1,28,1,1,
138,1,0,1,43,1,1,57.14286
139,1,1,1,39,1,1,
141,1,1,1,51,0,0,28.57143
142,1,1,1,71,1,1,
143,0,0,2,39,1,1,
146,0,1,2,48,0,0,
147,1,1,1,45,1,1,71.428574
148,1,0,1,25,1,1,
149,1,1,1,43,1,1,57.14286
150,1,1,2,41,0,0,85.714287
151,0,0,1,35,0,0,
152,0,0,1,41,1,1,85.714287
153,0,0,1,54,0,0,
156,0,0,1,41,1,1,85.714287
157,1,0,2,41,0,0,
159,1,1,1,42,1,1,71.428574
160,0,0,1,40,1,1,42.857143
161,0,0,1,80,1,1,
162,1,0,1,36,1,1,
163,0,0,1,28,0,0,
164,0,0,1,35,1,1,
165,0,0,1,65,0,0,
169,0,0,1,63,1,1,
170,1,0,1,55,0,0,
171,1,1,1,56,1,1,0
173,1,1,1,51,1,1,
174,1,1,1,53,0,0,42.857143
175,1,0,2,82,0,0,
177,1,0,1,53,1,1,
178,1,1,1,52,1,1,71.428574
179,1,0,1,32,1,1,
181,1,1,1,53,1,1,
182,1,1,2,55,,,57.14286
183,0,0,1,55,1,1,14.285715
186,1,1,1,66,1,1,
189,1,1,1,28,0,0,
191,1,1,1,25,1,1,
193,1,0,1,45,1,1,
195,0,0,1,46,1,1,71.428574
196,0,0,1,46,0,0,
197,1,0,2,73,0,0,
198,1,1,2,21,1,1,14.285715
202,0,0,1,68,0,0,
203,1,1,1,48,1,1,71.428574
204,0,0,1,55,1,1,85.714287
206,0,0,1,65,1,1,42.857143
207,1,0,2,71,0,0,
208,0,0,2,51,0,0,
209,1,0,2,70,0,0,
211,1,1,1,40,0,0,71.428574
212,1,0,1,50,0,0,57.14286
213,1,1,1,58,1,1,
215,1,1,1,41,1,1,71.428574
216,1,1,1,60,1,1,
217,0,0,1,51,1,1,
218,1,1,1,51,0,0,85.714287
220,1,1,2,61,0,0,
221,0,0,1,52,1,1,85.714287
222,1,1,1,57,1,1,85.714287
